,show_id,title,country,release_year,is_adult,num_seasons,description,num_episodes
36,s86,Pokémon Master Journeys: The Series,Not Available,2021,TV-Y7,1,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",18
37,s88,Titipo Titipo,Not Available,2019,TV-Y,2,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,20
38,s90,Mighty Raju,Not Available,2017,TV-Y7,4,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",22
39,s93,Into the Night,Belgium,2021,TV-MA,2,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,21
40,s96,The Circle,United States,2021,TV-MA,3,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",17
41,s98,Kid Cosmic,United States,2021,TV-Y7,2,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,20
42,s99,Octonauts: Above & Beyond,United Kingdom,2021,TV-Y,1,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",22
43,s100,On the Verge,France,2021,TV-MA,1,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",21
44,s101,Tobot Galaxy Detectives,Not Available,2019,TV-Y7,2,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",15
45,s103,Countdown: Inspiration4 Mission to Space,Not Available,2021,TV-14,1,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",18
46,s105,Tayo the Little Bus,South Korea,2016,TV-Y,2,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",19
47,s107,Bunk'd,United States,2021,TV-G,5,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",15
48,s109,Dive Club,Australia,2021,TV-G,1,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",20
49,s110,La casa de papel,Spain,2021,TV-MA,5,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,19
50,s111,Money Heist: From Tokyo to Berlin,Not Available,2021,TV-MA,1,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",12
51,s112,Sharkdog,United States,2021,TV-Y,1,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",18
52,s121,Heroes of Goo Jit Zu,Australia,2021,TV-Y7,1,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",18
53,s122,Hotel Del Luna,Not Available,2019,TV-14,1,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",19
54,s124,Luv Kushh,Not Available,2012,TV-Y7,1,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.",16
55,s125,Pororo - The Little Penguin,South Korea,2013,TV-Y7,3,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",21
56,s126,Q-Force,United States,2021,TV-MA,1,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",17
57,s133,Brave Animated Series,Not Available,2021,TV-MA,1,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,14
58,s148,How to Be a Cowboy,Not Available,2021,TV-PG,1,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",17
59,s149,HQ Barbers,Not Available,2020,TV-14,1,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",15
60,s154,Kid-E-Cats,Russia,2016,TV-Y,2,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.",22
61,s155,Kuroko's Basketball,Japan,2015,TV-MA,3,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.",22
62,s161,Major Dad,United States,1992,TV-PG,4,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",13
63,s166,Oldsters,Not Available,2019,TV-MA,1,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.,13
64,s182,Turning Point: 9/11 and the War on Terror,Not Available,2021,TV-14,1,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.",16
65,s185,Sparking Joy,United States,2021,TV-PG,1,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",21
66,s187,Hometown Cha-Cha-Cha,Not Available,2021,TV-14,1,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",16
67,s188,The Ingenuity of the Househusband,Not Available,2021,TV-G,1,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.,15
68,s190,Bread Barbershop,Not Available,2020,TV-Y,2,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",14
69,s194,D.P.,,2021,TV-MA,1,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,14
70,s195,Deadly Sins,Not Available,2002,TV-MA,1,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,14
71,s198,I Heart Arlo,Not Available,2021,TV-Y7,1,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.,16
72,s199,King of Boys: The Return of the King,Nigeria,2021,TV-MA,1,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.",17
73,s213,Rebellion,Ireland,2016,TV-MA,2,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.",18
74,s214,RIDE ON TIME,Not Available,2021,TV-PG,3,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.,12
75,s219,Titletown High,Not Available,2021,TV-14,1,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title.",12
76,s220,EDENS ZERO,Japan,2021,TV-14,1,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.",15
77,s221,Family Reunion,United States,2021,TV-PG,4,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",12
78,s223,Clickbait,Not Available,2021,TV-MA,1,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",20
79,s224,John of God: The Crimes of a Spiritual Healer,Not Available,2021,TV-MA,1,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.",18
80,s225,Motel Makeover,Not Available,2021,TV-14,1,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",14
81,s226,Open Your Eyes,Not Available,2021,TV-MA,1,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",15
82,s227,Post Mortem: No One Dies in Skarnes,Not Available,2021,TV-MA,1,"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if...",12
83,s233,Wheel of Fortune,United States,2019,TV-G,3,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",19
84,s235,Oggy Oggy,Not Available,2021,TV-Y,1,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!,12
85,s242,Manifest,United States,2021,TV-14,3,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities.",16
86,s243,Comedy Premium League,Not Available,2021,TV-MA,1,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.",13
87,s244,Everything Will Be Fine,Not Available,2021,TV-MA,1,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,15
88,s246,Korean Cold Noodle Rhapsody,Not Available,2021,TV-PG,1,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.",12
89,s249,The Chair,Not Available,2021,TV-MA,1,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",12
90,s255,Go! Go! Cory Carson,United States,2021,TV-Y,5,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.",15
91,s261,The Defeated,Not Available,2020,TV-MA,1,"In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city.",13
92,s264,Mother Goose Club,United States,2016,TV-Y,2,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,12
93,s266,Rascal Does Not Dream of Bunny Girl Senpai,Japan,2018,TV-14,1,"After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",22
94,s267,The Creative Indians,India,2020,TV-MA,1,"From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys.",18
95,s270,Winx Club,Italy,2015,TV-Y7,2,"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension.""",22
96,s272,Brand New Cherry Flavor,United States,2021,TV-MA,1,"A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens.",14
97,s273,Fast & Furious Spy Racers,United States,2021,TV-Y7,5,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,18
98,s274,Gone for Good,France,2021,TV-MA,1,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel.",12
99,s275,Grace and Frankie,United States,2021,TV-MA,7,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",17
100,s276,The Kingdom,Argentina,2021,TV-MA,1,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",21
101,s277,Valeria,Spain,2021,TV-MA,2,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent.",14
102,s278,AlRawabi School for Girls,Jordan,2021,TV-14,1,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,15
103,s281,Bake Squad,United States,2021,TV-PG,1,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,22
104,s287,Gabby's Dollhouse,United States,2021,TV-Y,2,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.",21
105,s288,I Need Romance,Not Available,2021,TV-14,1,"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.",22
106,s289,Las muñecas de la mafia,Colombia,2018,TV-MA,1,"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia.",18
107,s290,The Crowned Clown,South Korea,2019,TV-14,1,"Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people.",21
108,s292,SHAMAN KING,Japan,2021,TV-14,1,"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King.",19
109,s297,Hit & Run,Israel,2021,TV-MA,1,A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.,21
110,s298,Navarasa,India,2021,TV-MA,1,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",17
111,s310,Car Masters: Rust to Riches,Not Available,2021,TV-PG,3,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",20
112,s311,Cocaine Cowboys: The Kings of Miami,United States,2021,TV-MA,1,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.,16
113,s312,Control Z,Mexico,2021,TV-MA,2,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",13
114,s313,Cooking With Paris,United States,2021,TV-MA,1,"With an anyone-can-cook attitude, Paris Hilton adds her own flair to every dish. Fun is just one edible glitter bomb away on this unique cooking show.",18
115,s314,Autumn's Concerto,Taiwan,2009,TV-14,1,"After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.",14
116,s317,Office Girls,Taiwan,2011,TV-14,1,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.",13
117,s320,The Prince Who Turns into a Frog,Taiwan,2005,TV-14,1,"Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.",12
118,s321,Top Secret UFO Projects: Declassified,Not Available,2021,TV-PG,1,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.",17
119,s322,Two Fathers,Taiwan,2013,TV-14,1,"When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.",19
120,s323,You're My Destiny,Taiwan,2008,TV-MA,1,"A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down.",13
121,s324,30 Rock,United States,2012,TV-14,7,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.,20
122,s325,44 Cats,Italy,2020,TV-Y7,3,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",19
123,s332,Darwin’s Game,Not Available,2020,TV-MA,1,High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other.,14
124,s337,Friday Night Lights,Not Available,2010,TV-14,5,Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.,15
125,s339,Hunter X Hunter (2011),Japan,2014,TV-14,6,"To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father.",22
126,s362,Charmed,United States,2021,TV-14,3,"After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",15
127,s365,Centaurworld,Not Available,2021,TV-Y7,1,"On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs.",16
128,s367,Glow Up,United Kingdom,2021,TV-14,3,"In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry.",21
129,s369,Khawatir,Not Available,2009,TV-14,1,Saudi media personality Ahmad Al Shugairi travels around the world on a quest for knowledge in various cities while offering his personal reflections.,14
130,s370,Myth & Mogul: John DeLorean,Not Available,2021,TV-14,1,"In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit.",21
131,s371,Outer Banks,United States,2021,TV-MA,2,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",19
132,s377,Transformers: War for Cybertron: Kingdom,Not Available,2021,TV-Y7,1,The frantic race to locate the Allspark first culminates on a strange planet as the future comes crashing through to the present day.,21
133,s380,Tattoo Redo,Not Available,2021,TV-MA,1,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.",22
134,s381,The Flash,United States,2021,TV-14,7,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,16
135,s382,The Snitch Cartel: Origins,Not Available,2021,TV-MA,1,"Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins.",13
136,s383,All American,United States,2021,TV-14,3,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,18
137,s386,How to Sell Drugs Online (Fast),Germany,2021,TV-MA,3,"To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers.",14
138,s387,Mighty Express,United States,2021,TV-Y,4,Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!,16
139,s389,Plastic Cup Boyz: Laughing My Mask Off!,Not Available,2021,TV-MA,1,Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.,14
140,s391,The Walking Dead,United States,2019,TV-MA,10,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival.",22
141,s392,Wynonna Earp,Canada,2020,TV-MA,4,The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.,12
142,s398,Feels Like Ishq,Not Available,2021,TV-MA,1,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,16
143,s400,Masters of the Universe: Revelation,Not Available,2021,TV-PG,1,"After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic.",21
144,s401,Revelations: The Masters of the Universe: Revelation Aftershow,Not Available,2021,TV-PG,1,Take a behind-the-scenes look at “Masters of the Universe: Revelation” as showrunner Kevin Smith and others interview the cast about their iconic roles.,12
145,s402,Sky Rojo,Spain,2021,TV-MA,2,A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.,17
146,s404,The Movies That Made Us,United States,2021,TV-MA,2,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen.",13
147,s426,Chicago Med,United States,2019,TV-14,5,"The doctors and nurses of Gaffney Chicago Medical Center juggle the busy ER's dramas and dangers in this spinoff of ""Chicago Fire"" and ""Chicago P.D.""",18
148,s431,Sexy Beasts,Not Available,2021,TV-14,1,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.",12
149,s432,Too Hot to Handle: Brazil,Not Available,2021,TV-MA,1,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex.",22
150,s435,Okupas,Argentina,2020,TV-MA,1,"In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city.",12
151,s436,Touch Your Heart,Not Available,2019,TV-MA,1,"Hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney.",12
152,s441,Explained,United States,2021,TV-MA,3,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.",19
153,s443,Johnny Test,United States,2021,TV-Y7,1,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!",18
154,s445,Naomi Osaka,Not Available,2021,TV-14,1,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.,13
155,s454,BEASTARS,Japan,2021,TV-MA,2,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.",22
156,s457,Her Private Life,South Korea,2019,TV-14,1,"An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director.",18
157,s460,Never Have I Ever,United States,2021,TV-14,2,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her.",13
158,s466,Heist,Not Available,2021,TV-MA,1,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,17
159,s467,My Unorthodox Life,Not Available,2021,TV-MA,1,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series.",16
160,s473,Ridley Jones,United States,2021,TV-Y,1,Curious kid Ridley and her friends protect the Museum of Natural History’s treasures and keep its magical secret safe: Everything comes alive at night!,15
161,s478,Atypical,United States,2021,TV-14,4,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",15
162,s479,Biohackers,Germany,2021,TV-MA,2,A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.,13
163,s483,How to Become a Tyrant,Not Available,2021,TV-MA,1,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries.",17
164,s488,The Cook of Castamar,Not Available,2021,TV-MA,1,"In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez.",18
165,s489,Virgin River,United States,2021,TV-14,3,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what – and who – she finds.",14
166,s491,Elize Matsunaga: Once Upon a Crime,Not Available,2021,TV-MA,1,"The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case.",14
167,s494,RESIDENT EVIL: Infinite Darkness,United States,2021,TV-MA,1,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House.",16
