Car Year,Car Brand,Car Model,Car Engine,Car Transmission,Reserve Price,Winning Price,Bidded Date
2014,Brand-47,Model-337,1.5,Auto,30300,31800,1/6/2020
2014,Brand-47,Model-344,2.4,Auto,60000,84500,1/6/2020
2014,Brand-47,Model-340,1.5,Auto,38300,42300,1/6/2020
2015,Brand-18,Model-75,2,Auto,63100,63200,1/6/2020
2015,Brand-18,Model-75,2,Auto,64600,68800,1/6/2020
2015,Brand-18,Model-78,1.8,Auto,30000,50300,1/6/2020
2015,Brand-40,Model-267,1.5,Auto,23000,26200,1/6/2020
2015,Brand-47,Model-341,1.8,Auto,60000,61300,1/6/2020
2015,Brand-47,Model-345,2.5,Manual,71200,71300,1/6/2020
2015,Brand-47,Model-340,1.5,Auto,39000,41800,1/6/2020
2015,Brand-47,Model-340,1.5,Auto,42300,42400,1/6/2020
2015,Brand-48,Model-391,1.6,Auto,13000,20300,1/6/2020
2016,Brand-18,Model-72,1.5,Auto,70000,76700,1/6/2020
2016,Brand-18,Model-74,1.5,Auto,43600,45700,1/6/2020
2016,Brand-30,Model-183,2,Auto,142000,147200,1/6/2020
2016,Brand-34,Model-205,2,Auto,72000,73300,1/6/2020
2016,Brand-41,Model-296,1.6,Auto,39800,42300,1/6/2020
2016,Brand-47,Model-346,1.5,Auto,33200,56000,1/6/2020
2017,Brand-12,Model-43,3.2,Auto,71000,71300,1/6/2020
2017,Brand-18,Model-73,1.5,Auto,31300,52300,1/6/2020
2017,Brand-40,Model-263,1.6,Auto,40000,43700,1/6/2020
2017,Brand-40,Model-266,2.5,Auto,30000,63000,1/6/2020
2018,Brand-40,Model-267,1.5,Auto,38800,41500,1/6/2020
2018,Brand-47,Model-347,2,Auto,88400,88500,1/6/2020
2019,Brand-18,Model-72,1.5,Auto,90200,83400,1/6/2020
2001,Brand-12,Model-44,2,Auto,3700,3800,2/6/2020
2002,Brand-27,Model-162,1.6,Auto,800,1300,2/6/2020
2005,Brand-47,Model-337,1.3,Auto,6300,10500,2/6/2020
2005,Brand-47,Model-348,2.4,Auto,28000,28800,2/6/2020
2005,Brand-47,Model-349,1.8,Auto,18800,25200,2/6/2020
2006,Brand-18,Model-75,2.4,Auto,12400,12800,2/6/2020
2006,Brand-47,Model-341,1.8,Auto,14400,14500,2/6/2020
2007,Brand-12,Model-45,2.5,Auto,9000,15200,2/6/2020
2007,Brand-18,Model-79,2,Auto,18800,22700,2/6/2020
2007,Brand-18,Model-74,1.5,Auto,20300,23200,2/6/2020
2007,Brand-47,Model-338,2.4,Auto,27000,28300,2/6/2020
2007,Brand-47,Model-338,2.4,Auto,28300,28800,2/6/2020
2008,Brand-34,Model-204,1.6,Auto,7800,8700,2/6/2020
2008,Brand-47,Model-338,2,Auto,29000,28300,2/6/2020
2009,Brand-12,Model-44,2.3,Auto,7900,30000,2/6/2020
2009,Brand-18,Model-73,1.5,Auto,19800,18800,2/6/2020
2009,Brand-18,Model-79,2,Auto,27300,27400,2/6/2020
2009,Brand-39,Model-253,1.4,Auto,2000,3400,2/6/2020
2009,Brand-46,Model-326,1.5,Auto,13000,15300,2/6/2020
2009,Brand-47,Model-339,2.4,Auto,61000,65300,2/6/2020
2010,Brand-36,Model-235,2,Auto,28000,28800,2/6/2020
2010,Brand-36,Model-236,3.8,Auto,48000,48200,2/6/2020
2010,Brand-36,Model-234,2.5,Auto,28000,28500,2/6/2020
2010,Brand-40,Model-263,1.8,Auto,13000,18700,2/6/2020
2010,Brand-46,Model-326,1.5,Auto,13800,17500,2/6/2020
2010,Brand-47,Model-339,2.4,Auto,70000,70300,2/6/2020
2010,Brand-48,Model-388,2,Auto,43100,45200,2/6/2020
2011,Brand-21,Model-104,1.2,Auto,3000,8200,2/6/2020
2011,Brand-39,Model-169,1.6,Auto,10000,16200,2/6/2020
2011,Brand-47,Model-340,1.5,Auto,24800,25300,2/6/2020
2012,Brand-18,Model-73,1.5,Auto,27900,28300,2/6/2020
2012,Brand-18,Model-73,1.5,Auto,30900,33000,2/6/2020
2012,Brand-21,Model-104,1.1,Auto,7000,7300,2/6/2020
2012,Brand-35,Model-228,1.6,Auto,39900,71400,2/6/2020
2012,Brand-39,Model-169,1.6,Auto,13600,14800,2/6/2020
2012,Brand-40,Model-263,1.8,Auto,26000,26300,2/6/2020
2013,Brand-12,Model-46,2,Auto,20300,20800,2/6/2020
2013,Brand-18,Model-73,1.5,Auto,32000,33300,2/6/2020
2013,Brand-18,Model-72,1.5,Auto,2300,24400,2/6/2020
2013,Brand-18,Model-77,1.5,Auto,37000,38600,2/6/2020
2013,Brand-18,Model-74,1.3,Auto,19800,20800,2/6/2020
2013,Brand-19,Model-98,2.5,Auto,30000,31300,2/6/2020
2013,Brand-21,Model-102,1.6,Auto,23000,27200,2/6/2020
2013,Brand-21,Model-109,2.4,Auto,29000,45500,2/6/2020
2013,Brand-22,Model-129,2.5,Auto,38300,38400,2/6/2020
2013,Brand-34,Model-206,2.2,Auto,30000,30300,2/6/2020
2013,Brand-40,Model-267,1.5,Auto,12300,14500,2/6/2020
2013,Brand-40,Model-263,1.8,Auto,33000,36200,2/6/2020
2013,Brand-45,Model-317,2,Auto,34300,34400,2/6/2020
2013,Brand-48,Model-392,1.4,Auto,23000,28200,2/6/2020
2014,Brand-18,Model-75,2,Auto,31300,57700,2/6/2020
2014,Brand-18,Model-73,1.5,Auto,39000,41200,2/6/2020
2014,Brand-40,Model-267,1.5,Auto,20000,27300,2/6/2020
2014,Brand-40,Model-269,1.8,Auto,38000,38300,2/6/2020
2014,Brand-46,Model-326,1.4,Auto,26900,30300,2/6/2020
2014,Brand-47,Model-345,2.7,Manual,33000,68700,2/6/2020
2014,Brand-47,Model-340,1.5,Auto,33000,36500,2/6/2020
2014,Brand-47,Model-340,1.5,Auto,38000,41300,2/6/2020
2015,Brand-18,Model-73,1.5,Auto,40300,43300,2/6/2020
2015,Brand-18,Model-78,1.8,Auto,33000,58700,2/6/2020
2015,Brand-47,Model-340,1.5,Auto,43000,43300,2/6/2020
2016,Brand-18,Model-73,1.5,Auto,36000,38300,2/6/2020
2016,Brand-18,Model-73,1.5,Auto,48000,48300,2/6/2020
2016,Brand-18,Model-78,1.8,Auto,30000,56300,2/6/2020
2016,Brand-18,Model-78,1.8,Auto,33000,56600,2/6/2020
2016,Brand-18,Model-78,1.8,Auto,61600,65600,2/6/2020
2016,Brand-36,Model-235,2,Auto,38600,58700,2/6/2020
2016,Brand-47,Model-350,2.5,Auto,180000,180300,2/6/2020
2016,Brand-47,Model-340,1.5,Auto,44200,44300,2/6/2020
2017,Brand-18,Model-75,2,Auto,82000,82600,2/6/2020
2017,Brand-47,Model-346,1.5,Auto,30000,63300,2/6/2020
2017,Brand-47,Model-340,1.5,Auto,30000,51800,2/6/2020
2018,Brand-45,Model-318,2,Auto,73000,73300,2/6/2020
2018,Brand-47,Model-340,1.5,Auto,38300,58400,2/6/2020
1995,Brand-47,Model-351,2,Auto,14300,15800,3/6/2020
1999,Brand-40,Model-265,1.5,Manual,4300,4800,3/6/2020
2002,Brand-47,Model-352,1.8,Auto,6800,8300,3/6/2020
2003,Brand-18,Model-73,1.5,Auto,9300,8600,3/6/2020
2003,Brand-19,Model-99,2,Auto,1300,2600,3/6/2020
2004,Brand-5,Model-15,1.5,Auto,2000,3800,3/6/2020
2004,Brand-40,Model-270,1.6,Auto,4800,4800,3/6/2020
2004,Brand-47,Model-349,1.8,Auto,21000,24000,3/6/2020
2005,Brand-18,Model-79,2,Auto,11700,11800,3/6/2020
2005,Brand-21,Model-107,1.6,Auto,2000,3300,3/6/2020
2005,Brand-27,Model-162,1.6,Auto,2000,2300,3/6/2020
2005,Brand-40,Model-271,2.5,Auto,9000,17600,3/6/2020
2005,Brand-47,Model-337,1.3,Auto,9300,12300,3/6/2020
2005,Brand-47,Model-337,1.3,Manual,8300,8800,3/6/2020
2006,Brand-18,Model-80,2.4,Auto,26300,31700,3/6/2020
2006,Brand-47,Model-347,2,Auto,14400,16600,3/6/2020
2007,Brand-18,Model-72,1.8,Auto,18300,20000,3/6/2020
2007,Brand-21,Model-107,1.6,Auto,3000,4300,3/6/2020
2007,Brand-47,Model-336,2.4,Auto,43000,45400,3/6/2020
2007,Brand-47,Model-337,1.3,Manual,10300,10600,3/6/2020
2007,Brand-47,Model-337,1.5,Auto,14300,14400,3/6/2020
2007,Brand-47,Model-345,2.5,Manual,30400,33000,3/6/2020
2008,Brand-40,Model-263,1.8,Auto,14000,14400,3/6/2020
2008,Brand-47,Model-341,1.8,Auto,20300,21700,3/6/2020
2008,Brand-48,Model-389,2,Auto,20000,20300,3/6/2020
2009,Brand-18,Model-75,2,Auto,13000,23800,3/6/2020
2009,Brand-34,Model-204,1.6,Auto,14000,16300,3/6/2020
2009,Brand-47,Model-340,1.5,Auto,18000,18500,3/6/2020
2010,Brand-18,Model-75,2,Auto,26600,28700,3/6/2020
2010,Brand-18,Model-75,2,Auto,28000,28300,3/6/2020
2010,Brand-18,Model-72,1.8,Auto,27100,27200,3/6/2020
2010,Brand-18,Model-79,2,Auto,29000,28400,3/6/2020
2010,Brand-35,Model-228,1.6,Auto,49700,48800,3/6/2020
2010,Brand-39,Model-169,2,Auto,11900,12300,3/6/2020
2010,Brand-40,Model-272,-,-,13300,15300,3/6/2020
2010,Brand-40,Model-263,1.6,Auto,17300,18300,3/6/2020
2010,Brand-40,Model-263,1.6,Manual,12000,12600,3/6/2020
2010,Brand-40,Model-270,1.6,Auto,12000,13300,3/6/2020
2010,Brand-47,Model-338,2,Auto,33800,38800,3/6/2020
2010,Brand-47,Model-340,1.5,Auto,20000,22200,3/6/2020
2011,Brand-40,Model-263,1.6,Auto,13000,21300,3/6/2020
2011,Brand-40,Model-263,1.6,Auto,18300,22500,3/6/2020
2011,Brand-40,Model-263,1.8,Auto,20000,20300,3/6/2020
2011,Brand-40,Model-269,2,Auto,17000,17600,3/6/2020
2011,Brand-41,Model-297,2,Auto,8800,8800,3/6/2020
2011,Brand-46,Model-327,1,Auto,4300,8800,3/6/2020
2011,Brand-46,Model-328,2,Auto,20000,20300,3/6/2020
2011,Brand-47,Model-338,2,Auto,29000,41600,3/6/2020
2011,Brand-47,Model-340,1.5,Auto,18000,23300,3/6/2020
2011,Brand-47,Model-349,1.8,Auto,32000,52300,3/6/2020
2011,Brand-48,Model-388,1.4,Auto,28300,28600,3/6/2020
2012,Brand-8,Model-34,1.5,Manual,21000,21300,3/6/2020
2012,Brand-12,Model-47,1.6,Auto,11000,11300,3/6/2020
2012,Brand-36,Model-234,2.5,Auto,33400,38800,3/6/2020
2012,Brand-36,Model-234,2.5,Auto,33000,48800,3/6/2020
2012,Brand-39,Model-169,2,Auto,19000,18500,3/6/2020
2012,Brand-40,Model-266,2.5,Manual,22000,30200,3/6/2020
2012,Brand-46,Model-326,1.5,Auto,18600,18700,3/6/2020
2012,Brand-47,Model-341,1.8,Auto,31400,33200,3/6/2020
2012,Brand-47,Model-345,2.5,Manual,40000,40300,3/6/2020
2012,Brand-47,Model-353,4.7,Auto,129000,128700,3/6/2020
2012,Brand-47,Model-340,1.5,Auto,29800,30700,3/6/2020
2013,Brand-18,Model-79,2,Auto,30000,55700,3/6/2020
2013,Brand-21,Model-109,2.4,Auto,44600,48800,3/6/2020
2013,Brand-40,Model-267,1.5,Auto,17600,17800,3/6/2020
2013,Brand-40,Model-267,1.5,Auto,18000,21600,3/6/2020
2013,Brand-40,Model-266,2.5,Auto,27000,31400,3/6/2020
2013,Brand-45,Model-317,2,Auto,34300,34400,3/6/2020
2013,Brand-47,Model-339,2.4,Auto,99000,88300,3/6/2020
2013,Brand-47,Model-343,1.5,Auto,16000,18800,3/6/2020
2013,Brand-47,Model-350,2.4,Auto,100000,132000,3/6/2020
2014,Brand-12,Model-43,2.2,Auto,40000,40300,3/6/2020
2014,Brand-18,Model-75,2.4,Auto,36900,61400,3/6/2020
2014,Brand-18,Model-73,1.5,Auto,36300,38600,3/6/2020
2014,Brand-18,Model-73,1.5,Auto,37000,44400,3/6/2020
2014,Brand-21,Model-102,1.6,Auto,23300,27800,3/6/2020
2014,Brand-27,Model-161,1.6,Auto,30000,30600,3/6/2020
2014,Brand-34,Model-205,2.5,Auto,30000,55000,3/6/2020
2014,Brand-36,Model-235,2,Auto,40000,41400,3/6/2020
2014,Brand-47,Model-338,2,Auto,63000,65300,3/6/2020
2014,Brand-47,Model-340,1.5,Auto,33000,36800,3/6/2020
2015,Brand-14,Model-58,1.5,Auto,12000,16500,3/6/2020
2015,Brand-18,Model-73,1.5,Auto,41300,42400,3/6/2020
2015,Brand-18,Model-78,1.8,Auto,37000,58600,3/6/2020
2015,Brand-18,Model-74,1.5,Auto,37100,38500,3/6/2020
2015,Brand-34,Model-207,2,Auto,68000,68300,3/6/2020
2015,Brand-34,Model-204,2,Auto,33000,58000,3/6/2020
2015,Brand-36,Model-235,2,Auto,39800,47400,3/6/2020
2015,Brand-40,Model-273,2,Auto,33300,60300,3/6/2020
2015,Brand-47,Model-340,1.5,Auto,43300,46700,3/6/2020
2016,Brand-18,Model-75,2,Auto,60000,60300,3/6/2020
2016,Brand-18,Model-73,1.5,Auto,37300,42300,3/6/2020
2016,Brand-18,Model-74,1.5,Auto,39800,45600,3/6/2020
2016,Brand-40,Model-266,2.5,Manual,38000,48600,3/6/2020
2016,Brand-47,Model-342,2.4,Auto,73000,75300,3/6/2020
2016,Brand-47,Model-342,2.5,Auto,60000,60300,3/6/2020
2017,Brand-47,Model-340,1.5,Auto,48000,48200,3/6/2020
2017,Brand-48,Model-393,2,Auto,70000,88800,3/6/2020
2018,Brand-18,Model-81,1.5,Auto,108100,118500,3/6/2020
2018,Brand-18,Model-81,2,Auto,99300,103400,3/6/2020
2018,Brand-40,Model-274,2.5,Manual,73000,75300,3/6/2020
2018,Brand-47,Model-347,2,Auto,80000,84200,3/6/2020
2019,Brand-18,Model-73,1.5,Auto,39300,61200,3/6/2020
2019,Brand-18,Model-79,1.5,Auto,103000,131800,3/6/2020
2019,Brand-47,Model-354,1.5,Auto,39000,63000,3/6/2020
1997,Brand-36,Model-236,2.5,Manual,3000,6800,4/6/2020
1997,Brand-49,Model-405,2.3,Auto,2000,2200,4/6/2020
1999,Brand-47,Model-348,3,Auto,4300,8500,4/6/2020
2000,Brand-47,Model-338,2.2,Auto,3600,3700,4/6/2020
2003,Brand-18,Model-75,2.4,Auto,10000,10300,4/6/2020
2003,Brand-18,Model-79,2,Auto,6000,8600,4/6/2020
2003,Brand-47,Model-338,2.4,Auto,9700,10800,4/6/2020
2003,Brand-47,Model-349,1.8,Auto,20000,24800,4/6/2020
2004,Brand-21,Model-115,1.1,Auto,1000,2000,4/6/2020
2004,Brand-36,Model-237,2,Auto,13000,16000,4/6/2020
2004,Brand-47,Model-339,2.4,Auto,28300,33000,4/6/2020
2005,Brand-40,Model-271,2.5,Auto,12000,15600,4/6/2020
2005,Brand-47,Model-337,1.3,Manual,7300,10300,4/6/2020
2005,Brand-47,Model-342,2.5,Auto,23000,28800,4/6/2020
2006,Brand-47,Model-348,2.4,Auto,30000,30300,4/6/2020
2007,Brand-18,Model-72,1.8,Auto,23000,23300,4/6/2020
2007,Brand-47,Model-336,3,Auto,38000,43300,4/6/2020
2007,Brand-47,Model-338,2.4,Auto,22300,25300,4/6/2020
2007,Brand-47,Model-338,2.4,Auto,26000,26300,4/6/2020
2007,Brand-47,Model-355,3.3,Auto,18000,18300,4/6/2020
2007,Brand-47,Model-347,2,Auto,12300,18200,4/6/2020
2008,Brand-18,Model-73,1.5,Auto,9800,13300,4/6/2020
2008,Brand-19,Model-100,2.5,Auto,23800,23800,4/6/2020
2008,Brand-19,Model-100,2.5,Auto,23800,25800,4/6/2020
2008,Brand-36,Model-238,2.5,Manual,22000,25800,4/6/2020
2008,Brand-47,Model-349,2,Auto,30000,30300,4/6/2020
2009,Brand-18,Model-73,1.5,Auto,16000,20000,4/6/2020
2009,Brand-19,Model-100,2.5,Auto,16000,28300,4/6/2020
2009,Brand-47,Model-337,1.3,Auto,14000,14300,4/6/2020
2009,Brand-47,Model-338,2.4,Auto,29300,30300,4/6/2020
2009,Brand-47,Model-345,2.7,Manual,30000,31500,4/6/2020
2009,Brand-47,Model-350,2.4,Auto,60000,71500,4/6/2020
2009,Brand-47,Model-350,3.5,Auto,63000,70300,4/6/2020
2010,Brand-18,Model-73,1.5,Auto,22000,24300,4/6/2020
2010,Brand-19,Model-101,1.5,Manual,3000,3300,4/6/2020
2010,Brand-30,Model-184,2.7,Auto,36000,67500,4/6/2020
2010,Brand-34,Model-208,1.5,Auto,13800,13800,4/6/2020
2010,Brand-40,Model-262,2,Auto,16000,24500,4/6/2020
2010,Brand-46,Model-326,1.5,Auto,14300,15200,4/6/2020
2010,Brand-47,Model-347,2,Auto,23800,23800,4/6/2020
2010,Brand-48,Model-391,1.2,Auto,18100,18300,4/6/2020
2011,Brand-12,Model-47,1.6,Auto,10000,10300,4/6/2020
2011,Brand-18,Model-73,1.5,Auto,20000,23700,4/6/2020
2011,Brand-18,Model-73,1.5,Auto,23000,24300,4/6/2020
2011,Brand-18,Model-72,1.8,Auto,33800,34300,4/6/2020
2011,Brand-19,Model-100,2.5,Auto,38900,38000,4/6/2020
2011,Brand-39,Model-169,1.6,Auto,17300,17600,4/6/2020
2011,Brand-40,Model-269,2,Auto,9900,16300,4/6/2020
2011,Brand-40,Model-268,2.5,Auto,22000,22300,4/6/2020
2011,Brand-47,Model-356,2.7,Auto,43000,50000,4/6/2020
2011,Brand-47,Model-345,2.5,Manual,38300,38800,4/6/2020
2011,Brand-47,Model-345,2.5,Manual,43000,53800,4/6/2020
2011,Brand-47,Model-340,1.5,Auto,21000,24300,4/6/2020
2012,Brand-12,Model-47,1.6,Auto,11000,13400,4/6/2020
2012,Brand-18,Model-72,1.5,Auto,27600,27700,4/6/2020
2012,Brand-18,Model-76,1.3,Auto,18100,18400,4/6/2020
2012,Brand-18,Model-74,1.3,Auto,20000,24200,4/6/2020
2012,Brand-18,Model-74,1.3,Auto,24300,24600,4/6/2020
2012,Brand-47,Model-339,2.4,Auto,88000,83200,4/6/2020
2012,Brand-47,Model-345,2.5,Manual,47000,47300,4/6/2020
2012,Brand-47,Model-340,1.5,Auto,23300,24200,4/6/2020
2012,Brand-48,Model-388,1.4,Auto,28300,30400,4/6/2020
2012,Brand-48,Model-394,1.4,Auto,18800,22500,4/6/2020
2013,Brand-12,Model-43,2.2,Manual,23300,25600,4/6/2020
2013,Brand-12,Model-43,2.2,Manual,31600,33400,4/6/2020
2013,Brand-40,Model-267,1.5,Auto,18000,18700,4/6/2020
2013,Brand-40,Model-268,2.5,Auto,33000,35300,4/6/2020
2013,Brand-41,Model-298,1.6,Auto,14300,15300,4/6/2020
2013,Brand-47,Model-342,2.5,Manual,40000,45500,4/6/2020
2013,Brand-47,Model-350,3.5,Auto,110000,116300,4/6/2020
2013,Brand-47,Model-340,1.5,Manual,22800,26000,4/6/2020
2014,Brand-18,Model-73,1.5,Auto,39300,45800,4/6/2020
2014,Brand-18,Model-73,1.5,Auto,42000,42200,4/6/2020
2014,Brand-18,Model-73,1.5,Auto,43000,44600,4/6/2020
2014,Brand-18,Model-79,2,Auto,34200,57300,4/6/2020
2014,Brand-19,Model-100,2.5,Auto,34300,54600,4/6/2020
2014,Brand-27,Model-161,1.6,Auto,29800,33000,4/6/2020
2014,Brand-27,Model-163,1.4,Auto,23000,23300,4/6/2020
2014,Brand-34,Model-205,2.5,Auto,39700,58800,4/6/2020
2014,Brand-40,Model-267,1.5,Auto,21900,22600,4/6/2020
2014,Brand-40,Model-267,1.5,Auto,22000,22400,4/6/2020
2014,Brand-40,Model-274,3,Manual,40000,44000,4/6/2020
2014,Brand-47,Model-353,2.7,Auto,80000,106800,4/6/2020
2014,Brand-48,Model-393,1.8,Auto,30000,37000,4/6/2020
2015,Brand-18,Model-73,1.5,Auto,33000,38500,4/6/2020
2015,Brand-18,Model-72,2,Auto,30000,50200,4/6/2020
2015,Brand-18,Model-79,2,Auto,67000,67500,4/6/2020
2015,Brand-18,Model-78,1.8,Auto,49000,58300,4/6/2020
2015,Brand-18,Model-78,1.8,Auto,31000,52300,4/6/2020
2015,Brand-22,Model-129,3,Auto,30000,50300,4/6/2020
2015,Brand-36,Model-239,1.2,Auto,20000,20300,4/6/2020
2015,Brand-40,Model-267,1.5,Auto,22600,22800,4/6/2020
2015,Brand-40,Model-267,1.5,Auto,24000,25600,4/6/2020
2015,Brand-40,Model-262,2.5,Auto,30000,55800,4/6/2020
2015,Brand-47,Model-350,3.5,Auto,130000,188400,4/6/2020
2015,Brand-48,Model-391,1.6,Auto,18300,18600,4/6/2020
2015,Brand-48,Model-391,1.6,Auto,26200,26300,4/6/2020
2016,Brand-18,Model-73,1.5,Auto,40000,45200,4/6/2020
2016,Brand-18,Model-72,1.8,Auto,67000,67300,4/6/2020
2016,Brand-18,Model-78,1.8,Auto,61000,66200,4/6/2020
2016,Brand-18,Model-74,1.5,Auto,41800,41800,4/6/2020
2016,Brand-34,Model-207,2,Auto,69300,71800,4/6/2020
2016,Brand-34,Model-205,2,Auto,72000,72300,4/6/2020
2016,Brand-34,Model-204,2,Auto,39800,61700,4/6/2020
2016,Brand-47,Model-336,2.5,Auto,130000,188000,4/6/2020
2016,Brand-47,Model-341,1.8,Auto,36000,56800,4/6/2020
2016,Brand-47,Model-340,1.5,Auto,40900,43500,4/6/2020
2016,Brand-48,Model-394,1.4,Auto,30000,37500,4/6/2020
2017,Brand-12,Model-43,3.2,Auto,64000,64300,4/6/2020
2017,Brand-18,Model-79,1.5,Auto,109300,111300,4/6/2020
2017,Brand-22,Model-129,2.5,Manual,42300,60300,4/6/2020
2017,Brand-47,Model-347,2,Auto,73000,78200,4/6/2020
2018,Brand-19,Model-100,2.5,Auto,60000,82800,4/6/2020
2018,Brand-34,Model-209,2,Auto,83800,88300,4/6/2020
2018,Brand-34,Model-210,2.5,Auto,108000,114300,4/6/2020
1996,Brand-18,Model-72,1.6,Auto,4000,4200,5/6/2020
1997,Brand-18,Model-79,2,Auto,3300,7700,5/6/2020
2003,Brand-19,Model-97,1.3,Auto,3000,3600,5/6/2020
2003,Brand-47,Model-338,2,Auto,9000,8300,5/6/2020
2004,Brand-18,Model-73,1.5,Auto,3000,8800,5/6/2020
2004,Brand-47,Model-336,2.4,Auto,30000,40500,5/6/2020
2004,Brand-47,Model-348,2.4,Auto,23000,27600,5/6/2020
2005,Brand-5,Model-15,1.5,Auto,2000,3500,5/6/2020
2005,Brand-18,Model-72,1.7,Auto,12900,13400,5/6/2020
2005,Brand-39,Model-252,2,Auto,4300,4800,5/6/2020
2005,Brand-46,Model-326,1.5,Auto,10000,10700,5/6/2020
2005,Brand-47,Model-340,1.5,Auto,6800,8700,5/6/2020
2006,Brand-18,Model-72,2,Auto,26000,26300,5/6/2020
2006,Brand-27,Model-162,1.6,Auto,2000,2300,5/6/2020
2006,Brand-39,Model-255,2.5,Auto,3000,3300,5/6/2020
2006,Brand-40,Model-273,2,Auto,14300,18700,5/6/2020
2007,Brand-47,Model-337,1.5,Auto,14000,14300,5/6/2020
2007,Brand-47,Model-339,2.4,Auto,43300,44300,5/6/2020
2007,Brand-47,Model-347,2,Auto,13300,17000,5/6/2020
2008,Brand-18,Model-73,1.5,Auto,13800,15300,5/6/2020
2008,Brand-18,Model-72,2,Auto,30000,30300,5/6/2020
2008,Brand-18,Model-80,2.4,Auto,30000,36800,5/6/2020
2008,Brand-39,Model-252,2,Auto,3800,5600,5/6/2020
2008,Brand-40,Model-263,1.6,Auto,13300,13400,5/6/2020
