Dealer ID,Registration Date,Bidding Date,No. of Cars Bids,No. of Cars Won
11810,2016-03-17,14/9/2020,47,1
11810,2016-03-17,15/9/2020,38,2
11810,2016-03-17,16/9/2020,45,0
11810,2016-03-17,17/9/2020,52,2
11810,2016-03-17,18/9/2020,45,1
11810,2016-03-17,19/9/2020,41,3
11810,2016-03-17,20/9/2020,27,2
11810,2016-03-17,21/9/2020,42,1
11810,2016-03-17,22/9/2020,56,0
11810,2016-03-17,23/9/2020,23,0
11810,2016-03-17,24/9/2020,20,1
11810,2016-03-17,25/9/2020,21,1
11810,2016-03-17,26/9/2020,26,3
11810,2016-03-17,27/9/2020,25,0
11810,2016-03-17,28/9/2020,43,1
11810,2016-03-17,29/9/2020,35,2
11810,2016-03-17,30/9/2020,25,2
11810,2016-03-17,1/10/2020,28,1
11810,2016-03-17,2/10/2020,21,3
11810,2016-03-17,3/10/2020,2,0
11810,2016-03-17,4/10/2020,15,0
11810,2016-03-17,5/10/2020,16,0
11810,2016-03-17,6/10/2020,31,0
11810,2016-03-17,7/10/2020,24,0
11810,2016-03-17,8/10/2020,14,0
11810,2016-03-17,9/10/2020,14,1
11810,2016-03-17,10/10/2020,12,0
11810,2016-03-17,11/10/2020,10,0
11810,2016-03-17,12/10/2020,28,0
11810,2016-03-17,13/10/2020,0,0
11810,2016-03-17,14/10/2020,17,0
11810,2016-03-17,15/10/2020,10,0
11810,2016-03-17,16/10/2020,14,1
11810,2016-03-17,17/10/2020,11,0
11810,2016-03-17,18/10/2020,16,1
11810,2016-03-17,19/10/2020,19,0
11810,2016-03-17,20/10/2020,17,1
11810,2016-03-17,21/10/2020,6,0
11810,2016-03-17,22/10/2020,19,0
11810,2016-03-17,23/10/2020,15,1
11810,2016-03-17,24/10/2020,21,0
11810,2016-03-17,25/10/2020,3,0
11810,2016-03-17,26/10/2020,20,0
11810,2016-03-17,27/10/2020,19,2
11810,2016-03-17,28/10/2020,14,1
11810,2016-03-17,29/10/2020,16,0
11810,2016-03-17,30/10/2020,26,0
11810,2016-03-17,31/10/2020,26,4
11810,2016-03-17,1/11/2020,3,1
11810,2016-03-17,2/11/2020,14,0
11810,2016-03-17,3/11/2020,11,0
11810,2016-03-17,4/11/2020,18,6
11810,2016-03-17,5/11/2020,21,3
11810,2016-03-17,6/11/2020,8,0
11810,2016-03-17,7/11/2020,6,0
11810,2016-03-17,8/11/2020,23,0
11810,2016-03-17,9/11/2020,24,3
11810,2016-03-17,10/11/2020,15,1
11810,2016-03-17,11/11/2020,22,1
11810,2016-03-17,12/11/2020,8,0
11810,2016-03-17,13/11/2020,2,0
11810,2016-03-17,14/11/2020,6,0
11810,2016-03-17,15/11/2020,19,1
11810,2016-03-17,16/11/2020,3,0
11810,2016-03-17,17/11/2020,6,0
11810,2016-03-17,18/11/2020,3,0
11810,2016-03-17,19/11/2020,21,3
11810,2016-03-17,20/11/2020,6,0
11810,2016-03-17,21/11/2020,23,2
11810,2016-03-17,22/11/2020,11,0
11810,2016-03-17,23/11/2020,17,1
11810,2016-03-17,24/11/2020,5,0
11810,2016-03-17,25/11/2020,14,0
11810,2016-03-17,26/11/2020,17,1
11810,2016-03-17,27/11/2020,14,2
11810,2016-03-17,28/11/2020,14,0
11810,2016-03-17,29/11/2020,14,0
11810,2016-03-17,30/11/2020,14,0
20210,2016-05-31,6/6/2020,1,0
20210,2016-05-31,14/6/2020,1,0
20210,2016-05-31,17/6/2020,1,0
20210,2016-05-31,21/6/2020,1,0
20210,2016-05-31,22/6/2020,1,0
20210,2016-05-31,25/6/2020,2,0
20210,2016-05-31,26/6/2020,3,0
20210,2016-05-31,27/6/2020,4,0
20210,2016-05-31,30/6/2020,2,1
20210,2016-05-31,1/7/2020,3,0
20210,2016-05-31,3/7/2020,3,0
20210,2016-05-31,4/7/2020,2,0
20210,2016-05-31,6/7/2020,3,0
20210,2016-05-31,7/7/2020,4,1
20210,2016-05-31,8/7/2020,9,2
20210,2016-05-31,9/7/2020,5,0
20210,2016-05-31,10/7/2020,4,2
20210,2016-05-31,11/7/2020,11,3
20210,2016-05-31,13/7/2020,5,0
20210,2016-05-31,14/7/2020,6,2
20210,2016-05-31,15/7/2020,5,0
20210,2016-05-31,16/7/2020,13,1
20210,2016-05-31,17/7/2020,9,1
20210,2016-05-31,18/7/2020,8,0
20210,2016-05-31,19/7/2020,8,0
20210,2016-05-31,20/7/2020,14,1
20210,2016-05-31,21/7/2020,24,4
20210,2016-05-31,22/7/2020,15,6
20210,2016-05-31,23/7/2020,17,1
20210,2016-05-31,24/7/2020,13,0
20210,2016-05-31,25/7/2020,11,1
20210,2016-05-31,26/7/2020,4,1
20210,2016-05-31,27/7/2020,9,2
20210,2016-05-31,28/7/2020,6,2
20210,2016-05-31,29/7/2020,10,0
20210,2016-05-31,30/7/2020,10,1
20210,2016-05-31,1/8/2020,5,1
20210,2016-05-31,2/8/2020,1,0
20210,2016-05-31,3/8/2020,4,1
20210,2016-05-31,4/8/2020,6,2
20210,2016-05-31,5/8/2020,6,2
20210,2016-05-31,6/8/2020,12,2
20210,2016-05-31,7/8/2020,11,2
20210,2016-05-31,8/8/2020,14,2
20210,2016-05-31,9/8/2020,6,1
20210,2016-05-31,10/8/2020,14,3
20210,2016-05-31,11/8/2020,5,1
20210,2016-05-31,12/8/2020,3,1
20210,2016-05-31,13/8/2020,1,1
20210,2016-05-31,14/8/2020,5,0
20210,2016-05-31,15/8/2020,5,1
20210,2016-05-31,16/8/2020,4,0
20210,2016-05-31,17/8/2020,4,0
20210,2016-05-31,18/8/2020,8,1
20210,2016-05-31,19/8/2020,11,1
20210,2016-05-31,20/8/2020,9,0
20210,2016-05-31,21/8/2020,6,1
20210,2016-05-31,22/8/2020,5,3
20210,2016-05-31,23/8/2020,7,0
20210,2016-05-31,24/8/2020,1,0
20210,2016-05-31,25/8/2020,4,0
20210,2016-05-31,26/8/2020,2,0
20210,2016-05-31,27/8/2020,6,0
20210,2016-05-31,28/8/2020,13,1
20210,2016-05-31,29/8/2020,11,1
20210,2016-05-31,1/9/2020,3,1
20210,2016-05-31,2/9/2020,4,2
20210,2016-05-31,3/9/2020,3,0
20210,2016-05-31,4/9/2020,8,0
20210,2016-05-31,5/9/2020,3,1
20210,2016-05-31,6/9/2020,4,0
20210,2016-05-31,7/9/2020,2,0
20210,2016-05-31,8/9/2020,4,0
20210,2016-05-31,9/9/2020,4,2
20210,2016-05-31,10/9/2020,3,0
20210,2016-05-31,11/9/2020,4,0
20210,2016-05-31,12/9/2020,2,0
20210,2016-05-31,14/9/2020,2,0
20210,2016-05-31,15/9/2020,7,0
20210,2016-05-31,16/9/2020,3,0
20210,2016-05-31,17/9/2020,3,1
20210,2016-05-31,18/9/2020,3,0
20210,2016-05-31,21/9/2020,14,1
20210,2016-05-31,22/9/2020,13,3
20210,2016-05-31,23/9/2020,4,1
20210,2016-05-31,24/9/2020,16,0
20210,2016-05-31,25/9/2020,8,3
20210,2016-05-31,26/9/2020,16,1
20210,2016-05-31,27/9/2020,1,0
20210,2016-05-31,28/9/2020,11,1
20210,2016-05-31,29/9/2020,14,0
20210,2016-05-31,30/9/2020,8,2
20210,2016-05-31,1/10/2020,7,1
20210,2016-05-31,2/10/2020,4,0
20210,2016-05-31,3/10/2020,20,3
20210,2016-05-31,5/10/2020,2,1
20210,2016-05-31,6/10/2020,15,0
20210,2016-05-31,7/10/2020,10,1
20210,2016-05-31,8/10/2020,14,1
20210,2016-05-31,9/10/2020,9,1
20210,2016-05-31,10/10/2020,5,1
20210,2016-05-31,12/10/2020,6,1
20210,2016-05-31,13/10/2020,4,0
20210,2016-05-31,14/10/2020,4,1
20210,2016-05-31,15/10/2020,7,1
20210,2016-05-31,16/10/2020,15,6
20210,2016-05-31,17/10/2020,6,4
20210,2016-05-31,18/10/2020,13,2
20210,2016-05-31,19/10/2020,27,3
20210,2016-05-31,20/10/2020,6,2
20210,2016-05-31,21/10/2020,13,1
20210,2016-05-31,22/10/2020,12,4
20210,2016-05-31,23/10/2020,22,2
20210,2016-05-31,24/10/2020,25,4
20210,2016-05-31,25/10/2020,3,0
20210,2016-05-31,26/10/2020,13,2
20210,2016-05-31,27/10/2020,18,1
20210,2016-05-31,28/10/2020,15,3
20210,2016-05-31,29/10/2020,6,1
20210,2016-05-31,30/10/2020,18,1
20210,2016-05-31,31/10/2020,27,2
20210,2016-05-31,2/11/2020,8,1
20210,2016-05-31,3/11/2020,11,1
20210,2016-05-31,4/11/2020,14,2
20210,2016-05-31,5/11/2020,16,3
20210,2016-05-31,6/11/2020,27,4
20210,2016-05-31,7/11/2020,21,2
20210,2016-05-31,8/11/2020,1,0
20210,2016-05-31,9/11/2020,3,1
20210,2016-05-31,10/11/2020,9,0
20210,2016-05-31,11/11/2020,6,1
20210,2016-05-31,12/11/2020,13,4
20210,2016-05-31,13/11/2020,24,4
20210,2016-05-31,14/11/2020,14,6
20210,2016-05-31,16/11/2020,18,5
20210,2016-05-31,17/11/2020,29,7
20210,2016-05-31,18/11/2020,24,5
20210,2016-05-31,19/11/2020,13,0
20210,2016-05-31,20/11/2020,2,0
20210,2016-05-31,21/11/2020,8,1
20210,2016-05-31,22/11/2020,2,1
20210,2016-05-31,23/11/2020,7,3
20210,2016-05-31,24/11/2020,0,0
20210,2016-05-31,25/11/2020,13,1
20210,2016-05-31,26/11/2020,5,2
20210,2016-05-31,27/11/2020,13,4
20210,2016-05-31,28/11/2020,6,1
20210,2016-05-31,30/11/2020,14,2
28310,2016-07-26,2/6/2020,1,1
28310,2016-07-26,3/6/2020,3,0
28310,2016-07-26,4/6/2020,2,0
28310,2016-07-26,5/6/2020,1,0
28310,2016-07-26,10/6/2020,1,1
28310,2016-07-26,11/6/2020,2,2
28310,2016-07-26,12/6/2020,3,0
28310,2016-07-26,13/6/2020,3,0
28310,2016-07-26,15/6/2020,3,0
28310,2016-07-26,16/6/2020,2,0
28310,2016-07-26,18/6/2020,2,0
28310,2016-07-26,23/6/2020,3,2
28310,2016-07-26,24/6/2020,5,0
28310,2016-07-26,25/6/2020,3,0
28310,2016-07-26,26/6/2020,3,0
28310,2016-07-26,30/6/2020,1,0
28310,2016-07-26,1/7/2020,2,1
28310,2016-07-26,2/7/2020,2,0
28310,2016-07-26,3/7/2020,1,1
28310,2016-07-26,4/7/2020,4,1
28310,2016-07-26,6/7/2020,2,0
28310,2016-07-26,7/7/2020,3,1
28310,2016-07-26,8/7/2020,3,0
28310,2016-07-26,9/7/2020,5,0
28310,2016-07-26,10/7/2020,9,3
28310,2016-07-26,11/7/2020,3,0
28310,2016-07-26,12/7/2020,1,0
28310,2016-07-26,13/7/2020,6,1
28310,2016-07-26,14/7/2020,1,0
28310,2016-07-26,15/7/2020,3,2
28310,2016-07-26,16/7/2020,3,1
28310,2016-07-26,18/7/2020,5,1
28310,2016-07-26,21/7/2020,0,0
28310,2016-07-26,22/7/2020,3,1
28310,2016-07-26,23/7/2020,1,0
28310,2016-07-26,24/7/2020,3,0
28310,2016-07-26,25/7/2020,3,0
28310,2016-07-26,26/7/2020,1,0
28310,2016-07-26,27/7/2020,3,1
28310,2016-07-26,28/7/2020,1,0
28310,2016-07-26,29/7/2020,4,2
28310,2016-07-26,30/7/2020,1,0
28310,2016-07-26,1/8/2020,2,0
28310,2016-07-26,4/8/2020,4,0
28310,2016-07-26,5/8/2020,2,0
28310,2016-07-26,6/8/2020,2,0
28310,2016-07-26,7/8/2020,1,0
28310,2016-07-26,8/8/2020,6,2
28310,2016-07-26,10/8/2020,2,0
28310,2016-07-26,12/8/2020,6,1
28310,2016-07-26,13/8/2020,5,1
28310,2016-07-26,14/8/2020,3,1
28310,2016-07-26,15/8/2020,3,0
28310,2016-07-26,17/8/2020,3,1
28310,2016-07-26,19/8/2020,5,0
28310,2016-07-26,22/8/2020,13,2
28310,2016-07-26,24/8/2020,4,2
28310,2016-07-26,26/8/2020,9,1
28310,2016-07-26,27/8/2020,9,2
28310,2016-07-26,28/8/2020,3,1
28310,2016-07-26,31/8/2020,5,2
28310,2016-07-26,1/9/2020,7,0
28310,2016-07-26,2/9/2020,2,0
28310,2016-07-26,3/9/2020,3,0
28310,2016-07-26,4/9/2020,2,0
28310,2016-07-26,5/9/2020,8,2
28310,2016-07-26,7/9/2020,4,2
28310,2016-07-26,9/9/2020,7,1
28310,2016-07-26,10/9/2020,4,1
28310,2016-07-26,12/9/2020,5,1
28310,2016-07-26,14/9/2020,2,0
28310,2016-07-26,17/9/2020,7,1
28310,2016-07-26,18/9/2020,1,0
28310,2016-07-26,19/9/2020,5,0
28310,2016-07-26,21/9/2020,4,1
28310,2016-07-26,23/9/2020,4,1
28310,2016-07-26,24/9/2020,3,0
28310,2016-07-26,30/9/2020,5,3
28310,2016-07-26,1/10/2020,5,2
28310,2016-07-26,2/10/2020,4,0
28310,2016-07-26,3/10/2020,2,0
28310,2016-07-26,5/10/2020,2,0
28310,2016-07-26,6/10/2020,5,1
28310,2016-07-26,7/10/2020,6,2
28310,2016-07-26,8/10/2020,2,1
28310,2016-07-26,9/10/2020,4,2
28310,2016-07-26,10/10/2020,7,3
28310,2016-07-26,12/10/2020,1,0
28310,2016-07-26,13/10/2020,1,0
28310,2016-07-26,14/10/2020,5,2
28310,2016-07-26,15/10/2020,1,1
28310,2016-07-26,17/10/2020,4,1
28310,2016-07-26,19/10/2020,2,0
28310,2016-07-26,20/10/2020,4,0
28310,2016-07-26,21/10/2020,5,1
28310,2016-07-26,23/10/2020,2,0
28310,2016-07-26,24/10/2020,1,0
28310,2016-07-26,26/10/2020,2,1
28310,2016-07-26,27/10/2020,1,0
28310,2016-07-26,28/10/2020,6,1
28310,2016-07-26,29/10/2020,2,1
28310,2016-07-26,30/10/2020,7,2
28310,2016-07-26,31/10/2020,5,1
28310,2016-07-26,3/11/2020,5,2
28310,2016-07-26,4/11/2020,9,1
28310,2016-07-26,5/11/2020,3,0
28310,2016-07-26,6/11/2020,2,0
28310,2016-07-26,10/11/2020,5,0
28310,2016-07-26,11/11/2020,2,0
28310,2016-07-26,12/11/2020,6,1
28310,2016-07-26,14/11/2020,3,0
28310,2016-07-26,15/11/2020,1,0
28310,2016-07-26,17/11/2020,4,0
28310,2016-07-26,18/11/2020,7,3
28310,2016-07-26,19/11/2020,2,1
28310,2016-07-26,20/11/2020,2,1
28310,2016-07-26,21/11/2020,1,0
28310,2016-07-26,22/11/2020,1,0
28310,2016-07-26,23/11/2020,1,0
28310,2016-07-26,24/11/2020,4,1
28310,2016-07-26,25/11/2020,5,2
28310,2016-07-26,26/11/2020,5,4
28310,2016-07-26,27/11/2020,3,1
28310,2016-07-26,30/11/2020,1,1
36710,2016-10-10,2/6/2020,4,0
36710,2016-10-10,3/6/2020,5,0
36710,2016-10-10,4/6/2020,8,0
36710,2016-10-10,5/6/2020,3,1
36710,2016-10-10,6/6/2020,1,0
36710,2016-10-10,7/6/2020,2,0
36710,2016-10-10,8/6/2020,3,1
36710,2016-10-10,11/6/2020,2,1
36710,2016-10-10,12/6/2020,2,1
36710,2016-10-10,13/6/2020,2,0
36710,2016-10-10,14/6/2020,1,0
36710,2016-10-10,15/6/2020,3,0
36710,2016-10-10,16/6/2020,8,0
36710,2016-10-10,17/6/2020,7,2
36710,2016-10-10,18/6/2020,2,1
36710,2016-10-10,19/6/2020,2,0
36710,2016-10-10,20/6/2020,4,1
36710,2016-10-10,22/6/2020,1,0
36710,2016-10-10,23/6/2020,7,1
36710,2016-10-10,24/6/2020,3,1
36710,2016-10-10,26/6/2020,3,0
36710,2016-10-10,27/6/2020,1,0
36710,2016-10-10,28/6/2020,2,0
36710,2016-10-10,29/6/2020,2,0
36710,2016-10-10,30/6/2020,2,0
36710,2016-10-10,1/7/2020,7,2
36710,2016-10-10,2/7/2020,2,0
36710,2016-10-10,3/7/2020,2,0
36710,2016-10-10,4/7/2020,2,0
36710,2016-10-10,6/7/2020,1,0
36710,2016-10-10,7/7/2020,2,1
36710,2016-10-10,8/7/2020,6,0
36710,2016-10-10,9/7/2020,7,2
36710,2016-10-10,10/7/2020,3,0
36710,2016-10-10,11/7/2020,2,0
36710,2016-10-10,12/7/2020,1,0
36710,2016-10-10,13/7/2020,2,1
36710,2016-10-10,15/7/2020,1,0
36710,2016-10-10,16/7/2020,4,0
36710,2016-10-10,17/7/2020,3,0
36710,2016-10-10,18/7/2020,4,0
36710,2016-10-10,19/7/2020,2,1
36710,2016-10-10,20/7/2020,2,0
36710,2016-10-10,21/7/2020,1,0
36710,2016-10-10,22/7/2020,5,0
36710,2016-10-10,23/7/2020,5,0
36710,2016-10-10,24/7/2020,6,1
36710,2016-10-10,26/7/2020,1,0
36710,2016-10-10,27/7/2020,7,3
36710,2016-10-10,28/7/2020,4,1
36710,2016-10-10,29/7/2020,5,1
36710,2016-10-10,1/8/2020,3,0
36710,2016-10-10,2/8/2020,2,0
36710,2016-10-10,3/8/2020,1,0
36710,2016-10-10,4/8/2020,7,0
36710,2016-10-10,5/8/2020,6,1
36710,2016-10-10,6/8/2020,6,3
36710,2016-10-10,7/8/2020,2,0
36710,2016-10-10,8/8/2020,4,0
36710,2016-10-10,9/8/2020,1,0
36710,2016-10-10,10/8/2020,5,0
36710,2016-10-10,11/8/2020,4,1
36710,2016-10-10,12/8/2020,5,0
36710,2016-10-10,13/8/2020,3,2
36710,2016-10-10,14/8/2020,4,0
36710,2016-10-10,15/8/2020,7,1
36710,2016-10-10,16/8/2020,3,1
36710,2016-10-10,17/8/2020,3,0
36710,2016-10-10,18/8/2020,5,1
36710,2016-10-10,19/8/2020,4,0
36710,2016-10-10,20/8/2020,3,1
36710,2016-10-10,21/8/2020,9,0
36710,2016-10-10,22/8/2020,8,2
36710,2016-10-10,24/8/2020,4,2
36710,2016-10-10,25/8/2020,6,1
36710,2016-10-10,26/8/2020,7,3
36710,2016-10-10,27/8/2020,7,3
36710,2016-10-10,28/8/2020,5,2
36710,2016-10-10,29/8/2020,3,1
36710,2016-10-10,30/8/2020,1,1
36710,2016-10-10,31/8/2020,3,0
36710,2016-10-10,1/9/2020,4,2
36710,2016-10-10,2/9/2020,2,0
36710,2016-10-10,3/9/2020,8,2
36710,2016-10-10,4/9/2020,1,0
36710,2016-10-10,6/9/2020,2,0
36710,2016-10-10,7/9/2020,4,1
36710,2016-10-10,8/9/2020,2,0
36710,2016-10-10,9/9/2020,2,0
36710,2016-10-10,10/9/2020,3,0
36710,2016-10-10,11/9/2020,3,1
36710,2016-10-10,12/9/2020,5,2
36710,2016-10-10,13/9/2020,1,1
36710,2016-10-10,14/9/2020,1,0
36710,2016-10-10,15/9/2020,4,0
36710,2016-10-10,16/9/2020,4,0
36710,2016-10-10,17/9/2020,4,0
36710,2016-10-10,18/9/2020,4,1
36710,2016-10-10,19/9/2020,5,1
36710,2016-10-10,20/9/2020,1,0
36710,2016-10-10,21/9/2020,4,0
36710,2016-10-10,22/9/2020,6,1
36710,2016-10-10,23/9/2020,6,1
36710,2016-10-10,24/9/2020,5,2
36710,2016-10-10,25/9/2020,3,0
36710,2016-10-10,26/9/2020,4,1
36710,2016-10-10,27/9/2020,4,1
36710,2016-10-10,28/9/2020,7,0
36710,2016-10-10,29/9/2020,1,0
36710,2016-10-10,30/9/2020,2,0
36710,2016-10-10,1/10/2020,3,0
36710,2016-10-10,2/10/2020,2,0
36710,2016-10-10,4/10/2020,3,0
36710,2016-10-10,5/10/2020,6,1
36710,2016-10-10,6/10/2020,2,1
36710,2016-10-10,7/10/2020,4,0
36710,2016-10-10,8/10/2020,8,0
36710,2016-10-10,9/10/2020,6,2
36710,2016-10-10,10/10/2020,3,0
36710,2016-10-10,11/10/2020,5,0
36710,2016-10-10,12/10/2020,2,0
36710,2016-10-10,13/10/2020,6,2
36710,2016-10-10,14/10/2020,3,1
36710,2016-10-10,15/10/2020,3,0
36710,2016-10-10,16/10/2020,7,1
36710,2016-10-10,17/10/2020,4,0
36710,2016-10-10,18/10/2020,4,0
36710,2016-10-10,20/10/2020,2,0
36710,2016-10-10,21/10/2020,3,0
36710,2016-10-10,22/10/2020,2,1
36710,2016-10-10,23/10/2020,4,0
36710,2016-10-10,24/10/2020,4,3
36710,2016-10-10,25/10/2020,3,0
36710,2016-10-10,26/10/2020,5,1
36710,2016-10-10,27/10/2020,9,0
36710,2016-10-10,28/10/2020,6,0
36710,2016-10-10,29/10/2020,4,1
36710,2016-10-10,30/10/2020,1,0
36710,2016-10-10,31/10/2020,10,3
36710,2016-10-10,1/11/2020,2,1
36710,2016-10-10,2/11/2020,2,0
36710,2016-10-10,3/11/2020,4,0
36710,2016-10-10,4/11/2020,7,0
36710,2016-10-10,5/11/2020,2,1
36710,2016-10-10,6/11/2020,4,0
36710,2016-10-10,7/11/2020,6,1
36710,2016-10-10,8/11/2020,4,0
36710,2016-10-10,9/11/2020,2,0
36710,2016-10-10,10/11/2020,6,1
36710,2016-10-10,11/11/2020,7,0
36710,2016-10-10,12/11/2020,10,2
36710,2016-10-10,13/11/2020,2,0
36710,2016-10-10,14/11/2020,5,0
36710,2016-10-10,15/11/2020,3,0
36710,2016-10-10,16/11/2020,4,2
36710,2016-10-10,17/11/2020,5,1
36710,2016-10-10,18/11/2020,7,2
36710,2016-10-10,19/11/2020,4,0
36710,2016-10-10,20/11/2020,5,0
36710,2016-10-10,21/11/2020,5,0
36710,2016-10-10,22/11/2020,3,1
36710,2016-10-10,23/11/2020,4,1
36710,2016-10-10,24/11/2020,4,1
36710,2016-10-10,25/11/2020,6,1
36710,2016-10-10,26/11/2020,4,2
36710,2016-10-10,27/11/2020,2,0
36710,2016-10-10,28/11/2020,2,0
36710,2016-10-10,30/11/2020,6,0
38810,2016-10-24,1/6/2020,15,3
38810,2016-10-24,2/6/2020,7,1
38810,2016-10-24,3/6/2020,5,0
38810,2016-10-24,4/6/2020,18,2
38810,2016-10-24,5/6/2020,15,2
38810,2016-10-24,6/6/2020,19,2
38810,2016-10-24,7/6/2020,17,0
38810,2016-10-24,8/6/2020,15,0
38810,2016-10-24,9/6/2020,15,1
38810,2016-10-24,10/6/2020,20,3
38810,2016-10-24,11/6/2020,17,0
38810,2016-10-24,12/6/2020,20,10
38810,2016-10-24,13/6/2020,4,0
38810,2016-10-24,14/6/2020,7,0
38810,2016-10-24,15/6/2020,0,0
38810,2016-10-24,17/6/2020,0,0
38810,2016-10-24,18/6/2020,1,0
38810,2016-10-24,19/6/2020,2,0
38810,2016-10-24,20/6/2020,10,1
38810,2016-10-24,22/6/2020,6,1
38810,2016-10-24,23/6/2020,7,0
38810,2016-10-24,24/6/2020,3,0
38810,2016-10-24,25/6/2020,6,0
38810,2016-10-24,26/6/2020,1,0
38810,2016-10-24,27/6/2020,11,1
38810,2016-10-24,28/6/2020,8,1
38810,2016-10-24,29/6/2020,5,0
38810,2016-10-24,30/6/2020,4,0
38810,2016-10-24,1/7/2020,4,1
38810,2016-10-24,2/7/2020,6,1
38810,2016-10-24,3/7/2020,6,0
38810,2016-10-24,4/7/2020,8,3
38810,2016-10-24,5/7/2020,9,1
38810,2016-10-24,6/7/2020,11,2
38810,2016-10-24,7/7/2020,9,0
38810,2016-10-24,8/7/2020,27,7
38810,2016-10-24,9/7/2020,15,4
38810,2016-10-24,10/7/2020,12,2
38810,2016-10-24,11/7/2020,26,8
38810,2016-10-24,12/7/2020,15,2
38810,2016-10-24,13/7/2020,3,1
38810,2016-10-24,15/7/2020,0,0
